lat,lon,name,short_name
41.949074,-87.648636,Broadway & Waveland Ave,CHI00496
41.78586107,-87.67414391,Damen Ave & 59th St,CHI00703
41.880281,-87.774453,Austin Blvd & Madison St,CHI00596
41.9256163,-87.6536574,Sheffield Ave & Fullerton Ave,CHI00225
41.787539,-87.644874,Halsted St & 59th St,CHI00734
41.939743,-87.658865,Racine Ave & Belmont Ave,CHI00411
41.775393,-87.654308,Racine Ave & 65th St,CHI00706
41.89576475,-87.62590803,Rush St & Superior St,CHI00368
41.93901,-87.65321,Sheffield Ave & Fletcher St,CHI02138
41.77694,-87.59842,University Ave & 65th St,CHI01994
41.73237975329554,-87.65806943,Loomis St & 89th St,CHI00738
41.9207449,-87.6636913,Southport Ave & Clybourn Ave,CHI00466
41.9972,-87.71105,McCormick Blvd & Devon Ave,CHI01881
41.765286,-87.621748,Michigan Ave & 71st St,CHI00799
41.79156801,-87.60785218,DuSable Museum,CHI00586
41.86649278,-87.70649618,Kedzie Ave & Roosevelt Rd,CHI00654
41.9495327,-87.7672648,Grace St & Central Ave,CHI01799
41.8895,-87.688257,Artesian Ave & Hubbard St,CHI00647
41.7506,-87.63409,Vincennes Ave & 79th St,CHI01937
41.90096039,-87.62377664,Michigan Ave & Oak St,CHI00252
42.048308,-87.698224,Dodge Ave & Church St,CHI00741
41.71370983035615,-87.53084421,Calumet Park,CHI00853
41.867227,-87.625961,Wabash Ave & Roosevelt Rd,CHI00524
41.97423,-87.6597735,Broadway & Argyle St,CHI00311
41.702800850225906,-87.55972624,Torrence Ave & 106th St,CHI00867
41.81153,-87.70885,Archer Ave & Homan Ave,CHI01838
41.947459,-87.653216,Wilton Ave & Addison St,CHI02055
41.79172821,-87.58394501,Griffin Museum of Science and Industry,CHI00574
41.80813391,-87.64561655,Halsted St & 47th Pl,CHI00523
41.773643,-87.567514,South Shore Dr & 67th St,CHI00247
41.70513978893236,-87.64242411,Halsted St & 104th St,CHI00829
41.886841,-87.745261,Cicero Ave & Lake St,CHI00665
41.85750568031716,-87.64599144,Halsted St & 18th St,CHI00424
41.9007,-87.662607,Noble St & Milwaukee Ave,CHI00457
41.946176,-87.673308,Lincoln Ave & Addison St,CHI00478
41.865234,-87.666507,Ashland Ave & 13th St,CHI00515
